MCC,RUC,UIC,UNIT NAME,STREET ADDRESS,"CITY, STATE",ZIPCODE,DPI
C51,87247,M87247,I-I STF 1STLNGSHPPLT 1STB&P OPSCO,901 E MISSION ST,SAN JOSE CA,95112,16
C58,83269,M83269,I-I STF L CO 3DBN 24THMAR 4THMARDIV,AFRC 251 DON MAY ROAD,JOHNSON CITY TN,37615,16
C59,29065,null,SITE SUPPORT RALEIGH NC,2725 WESTERN BLVD,RALEIGH NC,27606,17
C60,83301,M83301,I-I STF F CO 4TH LAR BN 4TH MAR DIV,5405 LEESBURG ROAD,EASTOVER SC,29044,16
C63,85227,M85227,I-I STF WPNS CO 2NDBN 24THMAR 4THMARDIV,3155 BLACKHAWK DR STE 701,FORT SHERIDAN IL,60037,16
C64,87274,M87274,I-I STF 4TH FORCE RECON(-) MARFORRES,MCBH BOX 63040 BLDG 1181,KANEOHE BAY HI,96863,16
C66,73757,null,SITE SUPPORT GREENVILLE SC,669 PERIMETER RD,GREENVILLE SC,29605,17
C67,83304,M83304,I-I STF DET 1 SUPCO 4TH SUPBN 4THMLG,DOBBINS AFB,MARIETTA GA,30067,16
C68,83303,M83303,I-I STF L CO 3DBN 23DMAR 4THMARDIV,1650 FEDERAL DRIVE,MONTGOMERY AL,36107,16
C70,20016,null,HQ 4TH MLG NUC STAFF,2000 OPELOUSAS AVENUE,NEW ORLEANS LA,70146,16
C71,84267,M84267,I-I STF CO B(-) 4THASLTAMPHBN,MCRTC PO BOX 1620 FORT POINT,GALVESTON TX,77550,16
C72,21833,null,PWST 4TH AAV BN JACKSONVILLE FL,NAS AFRC BLDG 938 BOX 44,JACKSONVILLE FL,32212,17
C74,14174,null,PWST F CO 2DBN 24TH MARINES MILWAUKEE,2401 S LINCOLN MEMORIAL DR,MILWAUKEE WI,53207,17
C75,14175,M14175,PWST G CO 2DBN 24TH MARINES,AFR C 60001 MANUFACTURERS DR,MADISON WI,53704,17
C77,81247,M81247,SITE SUPPORT (DAYTON) 4TH LEBN FHG,2936 SHERWOOD ST BLDG 1440 WPAFB,DAYTON OH,45433,16
C78,81269,M81269,I-I STF E CO 2DBN 25THMAR,2991 N 2ND ST,HARRISBURG PA,17110,16
C79,29063,null,SITE SUPPORT TUCSON AZ,NMCRTC 3655 S WILMOT RD,TUCSON AZ,85730,17
C80,14212,null,PWST 1/25 TOPSHAM MA,MCRTC BRUNSWICH ANNEX,TOPSHAM ME,04086,17
C83,83219,M83219,I-I STF CO C ATBN 4THMARDIV,AFRTC 4350 SOUTH DRIVE,JACKSON MS,39209,16
C84,85234,M85234,I-I STF ENGRCO C 6TH ESB 4THMLG,7117 W PLANK RD,PEORIA IL,61604,16
C85,84266,M84266,I-I STF DET CO C 4THTKBN,NMCRC 2500 TEE ANCHOR BLVD,AMARILLO TX,79104,16
C86,85248,M85248,I-I STF DET1 ELECMAINTCO(-) 4THMAINTBN,3026 GEORGE WASHINGTON BLVD 4THMLG,WICHITA KS,67210,16
C87,71776,null,SITE SUPPORT (LEXINGTON) 4TH LEBN FHG,AFRC 151 OPPORTUNITY WAY,LEXINGTON KY,40511,17
C88,84286,M84286,I-I STF F CO(-) AT BN 4THMARDIV,MCRC 1710 SURREY STREET,LAFAYETTE LA,70508,16
C89,87244,M87244,I-I STF ENGRCO A 6THENGRSPTBN 4THMLG,AFRC 3106 PIERCE PARKWAY,SPRINGFIELD OR,97477,16
